Name,N2-rep1,N2-rep2,N2-rep3,Gld2-rep1,Gld2-rep2,Gld2-rep3,Cpb3-rep1,Cpb3-rep2,Cpb3-rep3,Gld2-pcb19-rep1,Gld2-pcb19-rep2,Gld2-PARN1-rep1,Gld2-PARN1-rep2,Gld2-CAF1-rep1,Gld2-CAF1-rep2,Gld2-PANL2-rep1,Gld2-PANL2-rep2,Gld2-CCF1-rep1,Gld2-CCF1-rep2,Gld2-CCR4-rep1,Gld2-CCR4-rep2,1-2-cell-egg-rep1,1-2-cell-egg-rep2
NR_001477,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_058260,74,103,142,177,119,47,91,123,10,61,18,55,117,55,117,130,25,34,80,63,89,16,16
NM_058262/NM_058261,283,284,453,667,586,223,299,440,68,269,85,188,549,230,260,457,128,154,304,352,477,134,184
NM_058263,86,57,143,268,215,103,61,86,19,34,10,56,94,42,44,152,37,51,55,98,44,38,21
NM_058267,1,0,2,49,37,15,5,3,1,9,1,3,4,3,9,7,1,1,6,18,2,0,0
NM_058269,14,4,6,6,11,2,1,11,0,1,2,4,13,5,9,8,0,1,9,4,6,3,10
NM_001261860,81,113,147,172,138,34,98,110,3,56,22,41,113,68,49,65,24,34,44,51,64,36,33
NM_058272,692,598,881,855,811,495,688,1023,252,380,87,304,434,178,378,1422,296,217,332,559,460,379,343
NM_058273,3,2,6,1,1,0,3,5,0,1,0,0,1,1,5,6,0,1,0,2,1,2,0
NM_058274,1129,1194,1999,3329,2531,1202,1041,1713,239,809,197,664,1328,575,837,1467,418,466,750,1098,957,444,630
NR_049899,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NR_049901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_049902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NM_058284,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_058285,86,80,148,148,143,62,56,131,12,79,10,56,104,54,73,141,33,26,63,68,79,22,13
NM_058286,37,43,33,142,190,55,39,71,21,60,12,38,101,31,36,124,34,21,52,55,57,4,6
NM_058289,23,44,58,67,42,10,59,29,5,28,18,19,60,27,56,33,4,23,43,26,65,20,16
NM_058296,204,184,274,330,254,92,254,426,76,90,19,71,150,68,113,227,37,48,101,110,96,102,100
NM_058297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_058301,18,7,13,18,15,11,22,21,4,17,1,7,11,9,12,41,3,2,10,11,11,0,6
NM_058302,4,1,8,7,5,3,3,3,0,6,2,3,9,6,3,32,2,3,1,8,1,0,1
NM_058304,1,1,12,3,12,3,5,9,0,2,2,1,11,1,0,8,0,0,5,8,2,0,0
NM_058306,67,77,122,185,176,80,106,145,20,80,27,67,132,68,85,163,36,50,104,114,112,42,32
NM_058307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_101513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR_049904/NR_049905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM_058310,17,21,38,26,22,6,12,19,3,14,3,10,27,8,10,15,8,0,27,8,15,3,11
NM_058313,42,87,111,178,130,37,81,79,4,54,13,39,104,47,82,60,15,12,48,43,60,9,19
NM_058314,1606,1622,2475,2703,2249,1132,1549,1616,366,1104,262,721,1534,799,1155,2933,578,620,1004,1189,1420,752,786
NM_058315,1605,1601,2347,1156,1196,500,1557,2639,401,1021,164,598,1497,547,701,2321,569,554,1084,1431,1738,1235,1934
NM_001129071/NM_001129070,312,322,461,333,249,126,318,529,74,169,41,129,300,95,150,300,86,113,265,296,316,146,220
NM_058322,29,20,32,62,24,17,14,24,2,12,5,13,30,19,22,35,7,9,22,24,17,16,15
NM_058324,76,155,159,314,270,64,117,122,10,178,45,72,435,141,209,205,63,94,187,168,332,42,65
NM_058325,39,41,76,96,81,40,29,44,7,24,7,24,30,15,32,99,16,18,37,26,35,8,15
NM_058326,2378,2600,3908,3564,3238,1423,1941,2956,545,1642,417,1484,2479,1115,1065,2742,712,961,1602,1735,1690,1176,1335
NM_001261919/NM_001261918,11,12,14,32,18,14,7,10,2,16,3,9,20,15,12,51,7,12,15,14,8,0,8
NM_058330,1,0,3,14,11,4,8,0,0,4,1,4,6,6,11,10,4,7,3,4,3,2,0
NM_058334,5,20,15,71,58,26,17,23,8,27,12,21,130,17,10,12,24,8,23,25,39,0,6
NM_058336,5,5,5,25,24,12,3,3,4,4,2,1,14,4,5,17,7,3,7,2,3,5,1
NM_058339,462,512,711,1082,900,437,548,826,91,218,27,164,307,177,309,701,103,164,380,255,255,130,126
