Name,WT-t0-rep1,WT-t0-rep2,WT-t5-rep1,WT-t5-rep2,WT-t10-rep1,WT-t10-rep2,WT-t20-rep1,WT-t20-rep2,RNA1-1-t0-rep1,RNA1-1-t0-rep2,RNA1-1-t5-rep1,RNA1-1-t5-rep2,RNA1-1-t10-rep1,RNA1-1-t10-rep2,RNA1-1-t20-rep1,RNA1-1-t20-rep2
YAL068C,32,34,35,37,44,47,34,44,3,5,2,5,0,3,7,5
YAL067C,8,20,7,5,17,10,17,13,0,0,0,1,0,0,0,0
YAL065C,0,1,1,0,1,2,0,0,0,0,1,0,0,0,0,0
YAL064C-A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL063C-A,0,2,1,0,3,8,3,1,1,3,0,2,0,1,0,1
YAL063C,13,8,16,22,19,30,14,31,5,9,2,7,2,1,5,3
YAL059C-A,0,0,1,3,2,4,1,1,7,12,3,9,0,1,3,0
YAL056C-A,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
YAL054C,17,16,11,8,18,39,44,59,19,25,1,17,1,5,10,7
YAL049C,119,102,80,112,177,268,197,234,149,343,92,261,38,100,100,123
YAL048C,0,0,0,0,0,4,3,0,0,2,1,3,4,5,3,2
YAL047C,12,14,11,14,16,26,19,32,7,35,10,25,9,6,8,7
YAL046C,32,37,35,47,34,75,28,84,35,95,22,83,6,13,18,11
YAL045C,0,1,0,0,0,0,0,0,0,0,8,11,3,19,16,5
YAL044C,231,259,140,269,336,574,406,786,294,631,164,599,88,236,146,182
YAL043C,183,242,92,182,177,218,192,205,187,338,36,114,11,27,41,15
YAL042C-A,0,0,0,0,0,0,2,2,0,0,0,1,0,2,0,0
YAL040C,154,159,76,110,133,148,140,113,132,244,26,65,11,17,33,14
YAL039C,159,204,129,194,215,325,289,345,145,245,39,138,18,28,34,19
YAL037C-B,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0
YAL037C-A,0,1,0,0,0,1,0,2,0,1,3,2,3,1,1,2
YAL036C,422,427,151,248,110,111,49,64,456,713,191,436,25,89,37,19
YAL034C-B,0,0,0,0,0,0,0,2,0,3,5,5,3,4,3,1
YAL034C,14,26,35,59,110,136,105,88,16,46,5,27,4,22,32,32
YAL032C,19,38,13,36,31,33,20,33,21,65,11,26,4,16,18,20
YAL031C,31,25,19,36,64,81,60,81,25,50,17,49,13,17,40,22
YAL029C,131,188,94,119,103,121,59,77,164,326,73,194,30,56,57,49
YAL026C-A/YAL026C,63,87,59,87,66,115,71,82,41,118,32,70,8,55,31,40
YAL025C,408,449,70,84,34,44,34,38,383,642,75,221,19,48,53,50
YAL024C,193,184,135,170,232,324,203,203,156,317,41,121,11,58,53,61
YAL023C,711,900,508,589,652,997,550,813,824,1727,418,1168,130,434,158,165
YAL022C,264,311,175,233,257,303,240,258,270,433,100,305,50,73,57,31
YAL021C,121,152,77,100,111,183,89,150,96,191,34,99,13,35,30,27
YAL020C,143,183,100,138,153,224,133,151,141,274,57,130,27,53,46,25
YAL018C,0,3,2,3,8,17,10,6,2,0,1,1,0,0,2,3
YAL016C-B,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
YAL016C-A,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0
YAL015C,57,56,44,41,71,123,65,88,34,104,31,71,31,24,13,26
YAL014C,77,104,77,76,126,177,126,174,72,140,31,80,12,20,32,22
YAL010C,25,21,9,16,30,60,28,47,12,32,5,12,3,5,7,2
YAL007C,164,242,118,186,171,251,151,211,174,384,108,280,63,83,42,43
YAL005C,3011,4509,20215,41634,59510,110992,49099,66262,5577,12525,5078,15778,1631,4443,5458,3951
YAL001C,26,27,27,43,52,77,35,70,54,60,20,57,5,16,24,10
YAR002C-A,369,450,259,426,381,564,370,439,357,751,234,665,148,309,164,203
YAR007C,44,53,38,54,65,121,45,95,43,107,26,74,1,15,9,7
YAR009C,513,684,476,685,671,1231,648,823,348,970,281,671,156,448,408,396
YAR010C,238,270,207,303,311,404,295,299,208,410,126,298,56,158,184,165
YAR014C,109,109,57,91,81,75,92,81,117,172,35,126,19,42,40,31
YAR018C,101,107,77,118,152,199,73,111,114,194,22,77,10,36,13,16
YAR019C,39,30,34,28,78,98,50,62,24,67,16,31,5,10,19,18
YAR020C,2,1,0,1,1,1,6,1,0,1,2,1,0,1,0,1
YAR023C,4,2,4,6,13,11,8,7,4,10,1,11,0,2,0,5
YAR030C,12,10,5,9,4,6,7,3,6,5,3,8,2,2,4,1
YAR035C-A,0,0,1,0,0,3,1,0,1,0,0,3,0,0,1,0
YAR047C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YAR060C,1,0,0,1,0,3,1,1,1,0,0,1,0,0,0,0
YAR069C,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
YAR070C,8,6,0,0,0,1,0,0,5,7,3,2,3,1,1,2
YAL069W/YAL068W-A,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
YAL067W-A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL066W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL064W-B,0,2,0,0,1,0,1,0,3,4,2,14,6,1,3,3
YAL064W,6,3,6,6,6,9,4,1,1,1,0,0,0,1,0,0
YAL062W,23,37,15,18,40,47,33,69,11,18,3,8,5,3,9,7
YAL061W,10,12,27,56,249,300,116,102,21,25,11,23,10,12,24,8
YAL060W,69,92,215,299,763,1112,490,1008,36,79,26,74,12,41,42,19
YAL059W,47,81,10,6,3,4,3,9,52,82,10,33,0,5,4,6
YAL058W,33,39,27,37,22,40,40,38,50,93,18,57,18,23,10,14
YAL056W,37,33,18,29,48,72,33,49,18,24,9,22,5,9,7,10
YAL055W,25,29,33,50,68,88,71,64,48,84,36,67,34,34,39,37
YAL053W,150,119,99,130,141,167,214,205,92,242,44,149,24,60,46,42
YAL051W,69,67,47,130,154,156,193,184,70,119,34,71,12,27,68,31
YAL047W-A,2,2,1,1,3,3,1,5,1,5,0,0,3,0,1,0
YAL044W-A,88,95,43,66,98,130,73,98,93,237,49,146,21,68,48,65
YAL042W,1098,1105,567,1180,681,807,634,523,824,1897,570,1495,437,481,328,245
YAL041W,123,142,73,96,174,227,140,196,128,310,36,62,7,22,35,28
YAL038W,2838,3354,2207,3419,3507,5935,1720,3372,2747,6139,1550,5550,1015,1852,828,1322
YAL037W,16,9,8,8,14,11,6,23,17,26,10,50,15,20,12,5
YAL035W,3109,3583,1868,2360,1149,1125,823,843,1639,3715,1281,2505,941,1127,864,917
YAL034W-A,34,22,22,16,24,36,17,20,33,70,5,17,3,10,4,9
YAL033W,71,112,37,56,34,66,14,39,72,145,31,102,6,18,17,11
YAL031W-A,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
YAL030W,81,75,74,120,206,258,209,241,69,152,37,101,15,49,44,46
YAL028W,10,9,19,23,57,71,17,44,3,16,8,42,7,28,9,15
YAL027W,20,48,17,36,36,62,22,56,28,80,17,40,4,15,23,22
YAL019W-A,2,0,1,0,0,0,0,0,0,2,0,1,0,2,1,0
YAL019W,102,123,43,49,26,40,21,32,102,186,32,119,11,40,32,30
YAL017W,12,12,18,28,83,92,42,70,21,43,11,48,17,17,23,18
YAL016W,97,181,88,148,191,290,108,229,143,374,74,238,63,81,41,26
YAL013W,883,785,676,1007,1063,1237,1255,911,794,1269,358,673,112,168,297,180
YAL012W,1979,2170,1431,3308,2624,3661,1897,2025,1946,4000,1390,3896,503,1902,1495,1399
YAL011W,76,84,37,40,52,60,51,55,45,108,21,37,22,25,16,14
YAL009W,214,249,137,212,228,332,229,337,214,480,66,184,49,59,55,59
YAL008W,42,52,54,78,153,245,200,242,44,96,24,81,20,33,14,12
YAL004W,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
