# Heatmap data
#
# Values given are log2 reads per million
#
# 525 genes shown
#
"name","gene","product","cluster hierarchy","WT.t0.rep1","WT.t0.rep2","WT.t5.rep1","WT.t5.rep2","WT.t10.rep1","WT.t10.rep2","WT.t20.rep1","WT.t20.rep2","RNA1.1.t0.rep1","RNA1.1.t0.rep2","RNA1.1.t5.rep1","RNA1.1.t5.rep2","RNA1.1.t10.rep1","RNA1.1.t10.rep2","RNA1.1.t20.rep1","RNA1.1.t20.rep2"
"YML131W","ADH3","Mitochondrial alcohol dehydrogenase isozyme III  involved in the shuttling of mitochondrial NADH to the cytosol under anaerobic conditions and ethanol production","0 0 0 0 0 0 ",3.42484728217614,4.145937158644,3.9289178952389,4.32434113286832,5.46869912605292,5.73786215562771,4.67966023955968,5.07291265061779,3.18826177439378,3.30229515880707,3.83184968862933,3.82091622523632,3.53396390826313,3.67355680484894,1.01485121363075,2.93173777976959
"YDR373W","YDR461C-A","Putative protein of unknown function","0 0 0 0 0 1 ",4.22516037494018,3.90573902470373,4.29384725541758,5.06962646461439,4.3685221100968,4.78858067078672,4.57148469992651,5.15344644004926,4.01312821957625,4.16294031580639,4.27046872568484,4.50471425347439,2.57403016256414,3.1747037778793,1.01485121363075,3.90056576938709
"YOL034W","MED4","Subunit of the RNA polymerase II mediator complex  associates with core polymerase subunits to form the RNA polymerase II holoenzyme  essential for transcriptional regulation","0 0 0 0 1 0 ",3.96714969612547,4.42656019583226,3.18485122078109,3.16158659394447,4.07126542400769,3.65497516497159,3.66318936477254,3.84152625147141,3.78686267639309,4.08905889659678,3.3847583004613,3.22828336776669,3.8477434750795,3.52564578136324,-1.61619152264643,3.49599395526829
"YOR094W","IRC13","Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data  null mutant displays increased levels of spontaneous Rad52 foci","0 0 0 0 1 1 0 0 ",4.66905504646498,4.63009026332224,4.82689842866084,4.41042150587623,4.6468659708621,4.24259335980725,4.41334666792182,4.22367681028681,4.83039511298194,4.98298727309004,4.27046872568484,4.12637069080641,3.13240584063472,3.52564578136324,-1.61619152264643,1.99213119315207
"YIR008C","PRP22","DEAH-box RNA-dependent ATPase/ATP-dependent RNA helicase, associates with lariat intermediates before the second catalytic step of splicing  mediates ATP-dependent mRNA release from the spliceosome and unwinds RNA duplexes","0 0 0 0 1 1 0 1 ",5.65977622863051,5.45182674360476,4.95475951496266,5.01571755594448,5.10404930007582,5.08623844419973,4.53354538261181,5.03089468192969,5.40983342449288,5.1129372505832,4.74891168620759,4.77937399055583,3.53396390826313,3.52564578136324,1.01485121363075,3.71241528470177
"YHL013C","KEL1","Protein required for proper cell fusion and cell morphology  functions in a complex with Kel2p to negatively regulate mitotic exit, interacts with Tem1p and Lte1p  localizes to regions of polarized growth  potential Cdc28p substrate","0 0 0 0 1 1 1 ",4.86372850097874,4.99195223288564,4.22787510764371,4.27929500894218,3.63395067387808,4.24259335980725,3.7973119394242,3.51564559099379,4.7383880126557,5.02321584518894,4.87863350359969,4.70232318217534,2.57403016256414,3.8077036166445,1.01485121363075,2.93173777976959
"YER070W","CGR1","Protein involved in nucleolar integrity and processing of the pre-rRNA for the 60S ribosome subunit  transcript is induced in response to cytotoxic stress but not genotoxic stress","0 0 0 1 0 0 0 0 0 ",7.25017620317015,7.16131674657548,6.17430446321713,6.00842570045047,4.76818845077877,4.65895687517762,4.84367287364917,4.69652331404528,7.0072460315956,7.16395969925695,5.35056537319565,5.56855226497571,3.13240584063472,4.65499748361837,5.09660665114595,2.93173777976959
"YMR127C","TUB3","Alpha-tubulin  associates with beta-tubulin (Tub2p) to form tubulin dimer, which polymerizes to form microtubules  expressed at lower level than Tub1p","0 0 0 1 0 0 0 0 1 ",3.96714969612547,3.55211214617395,3.9289178952389,2.5530825450737,2.67136863499956,1.43356515061875,2.01039594540865,2.3665349649843,3.59033405065641,4.34324616321234,1.5139599284954,2.0478014902979,-1.61619152264643,0.650375093115475,1.01485121363075,-1.61619152264643
"YOR212W","YOR292C","Putative protein of unknown function  green fluorescent protein (GFP)-fusion protein localizes to the vacuole  YOR292C is not an essential gene","0 0 0 1 0 0 0 1 ",7.90587369322373,7.99746602613216,6.98386909605041,6.72297137491853,6.18697267797844,5.89005346626798,6.29830450509238,6.05546381322263,7.66157488570856,7.54632239028717,6.04656218717714,5.92569239506575,3.53396390826313,4.24617299070588,5.41578137152203,4.97124900157431
"YER091C","SMC1","Subunit of the multiprotein cohesin complex, essential protein involved in chromosome segregation and in double-strand DNA break repair  SMC chromosomal ATPase family member, binds DNA with a preference for DNA with secondary structure","0 0 0 1 0 0 1 ",7.58995074546561,7.46162866235785,6.57007036656462,6.64521633522835,5.3376142559825,5.23010940398452,6.81560629683271,6.166359095212,7.66157488570856,7.70724848662571,5.55845927709137,5.38350626299787,2.57403016256414,5.23372010572043,6.43871946281673,4.21617781624254
"YBR296C","SUS1","Component of both the SAGA histone acetylase and TREX-2 complexes  interacts with RNA polymerase II  involved in mRNA export coupled transcription activation and elongation  involved in post-transcriptional tethering of active genes to the nuclear periphery and to non-nascent mRNP","0 0 0 1 0 1 0 0 ",6.88931758285729,7.0054168833365,6.00738017424574,6.11481864454157,3.42841956949497,3.35357345773542,3.43526459763305,3.38831450213895,3.09240914966689,3.7803006087649,1.5139599284954,1.67021234660593,-1.61619152264643,2.40591576025671,2.82867050257864,4.06698526955369
"YML123C","SPT5/YML009W-B","Protein involved in regulating Pol I and Pol II transcription and pre-mRNA processing  forms a complex with Spt4p  contains a C-terminal repeat domain that is a target for phosphorylation by Sgv1p/Dubious ORF unlikely to encode a functional protein, based on available experimental and comparative sequence data  deletion mutation confers an increase in Ty1 transposition","0 0 0 1 0 1 0 1 ",10.7804905299687,10.5597683191712,8.42629987499498,8.09028744259758,5.27757139016529,5.46801488617333,7.23157502387533,7.08309649646568,7.51677036933326,7.43641228956992,5.67018486554146,4.92213094592432,3.13240584063472,4.33773165012533,6.46662950709515,5.05287746077118
"YHR136C","FAF1","Protein required for pre-rRNA processing and 40S ribosomal subunit assembly","0 0 0 1 0 1 1 ",6.96907181751199,6.99930636678792,5.60130754541208,5.61407826828343,3.97372800386081,4.43966578764375,4.84367287364917,4.55545466656096,4.11421023512154,3.71630444069891,3.69764722749751,3.55481856866905,4.1053198471631,2.96097131863272,4.58791593110475,2.53711361770085
"YDR322W","GPI17","Transmembrane protein subunit of the glycosylphosphatidylinositol transamidase complex that adds GPIs to newly synthesized proteins  human PIG-Sp homolog","0 0 0 1 1 0 0 0 0 ",6.41734299259582,6.61576601458655,5.46477306893011,6.21390153993179,6.10872452090644,5.95593104440585,7.11438302333942,6.98197211659001,5.0246855855003,5.39429978908145,4.1726737490781,4.08649838092502,4.1053198471631,2.96097131863272,4.77811290125124,2.93173777976959
"YIR024C","SPC25","Component of the evolutionarily conserved kinetochore-associated Ndc80 complex (Ndc80p-Nuf2p-Spc24p-Spc25p)  involved in chromosome segregation, spindle checkpoint activity and kinetochore clustering","0 0 0 1 1 0 0 0 1 0 ",4.56089019185434,3.90573902470373,4.41737737538752,4.53061658160108,5.14942533340095,5.51871921386081,5.73873251089917,5.90075138764129,4.42086073103221,4.42559730961946,2.73346897893297,3.4329235314497,1.65097151713143,2.40591576025671,2.82867050257864,1.99213119315207
"YBR185C","YBR062C","Protein of unknown function that interacts with Msb2p  may play a role in activation of the filamentous growth pathway.","0 0 0 1 1 0 0 0 1 1 0 ",4.56089019185434,5.06398108710001,4.82689842866084,5.0429237961118,5.57229417795455,5.28971854542303,5.68782569309858,5.82900548327733,4.42086073103221,4.73104519726203,4.74891168620759,3.61210957856226,1.65097151713143,2.70997418757244,3.79516305402795,2.93173777976959
"YKR035W-A","CCP1","Mitochondrial cytochrome-c peroxidase  degrades reactive oxygen species in mitochondria, involved in the response to oxidative stress","0 0 0 1 1 0 0 0 1 1 1 ",6.94775422883882,6.64737055462886,6.400764351371,6.96975235857644,6.68757196105229,6.73344626524091,7.62342891446272,6.92575798495998,6.39427319002968,6.09358159781689,6.07390858519874,5.91434907324442,3.53396390826313,4.04353224513521,5.41578137152203,4.21617781624254
"YNR039C","FMP41","Putative protein of unknown function  GFP-fusion protein is induced in response to the DNA-damaging agent MMS  the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies","0 0 0 1 1 0 0 1 0 0 ",7.16652954614537,6.70106536457337,6.00738017424574,6.71453600113042,6.53351117299539,6.24656775735245,7.26089569724751,6.78749485949524,6.85491925766699,6.34703922381036,5.25822468277411,5.01001323780154,4.32380099190725,2.70997418757244,5.29644542940918,4.06698526955369
"YKL208W","TPK3","cAMP-dependent protein kinase catalytic subunit  promotes vegetative growth in response to nutrients via the Ras-cAMP signaling pathway  partially redundant with Tpk1p and Tpk2p  localizes to P-bodies during stationary phase","0 0 0 1 1 0 0 1 0 1 ",4.98029674108783,4.46253887022602,4.91338558604352,4.18475015644081,4.98394276564595,5.3884519537827,5.7716990663884,5.81669312265741,5.14901123329472,4.73104519726203,3.3847583004613,2.20502453406868,2.57403016256414,0.650375093115475,3.60735266525466,2.53711361770085
"YOL065C","GAL11","Subunit of the RNA polymerase II mediator complex  associates with core polymerase subunits to form the RNA polymerase II holoenzyme  affects transcription by acting as target of activators and repressors  forms part of the tail domain of mediator","0 0 0 1 1 0 0 1 1 ",3.25010588105156,3.95708463638058,3.03858678229609,3.16158659394447,4.40639660095293,4.38605184027177,4.13796356095548,3.84152625147141,3.72428128867383,3.64933717791245,2.42912364648706,2.9005756237305,1.65097151713143,-1.61619152264643,1.89343736955324,1.10582483878902
