Name,WT-rep1,WT-rep2,delta-pan2-rep1,delta-pan2-rep2,delta-puf3-rep1,delta-puf3-rep2,delta-pop2-rep1,delta-pop2-rep2,delta-ccr4-rep1,delta-ccr4-rep2
YAL068C,441,220,154,173,255,341,438,55,132,104
YAL067C,242,166,145,174,209,359,508,186,218,57
YAL065C,16,12,3,2,0,8,8,0,1,1
YAL064C-A,2,0,0,0,0,2,0,0,0,0
YAL063C-A,18,16,8,9,20,41,66,7,29,11
YAL063C,100,44,27,55,54,93,156,26,76,34
YAL059C-A,33,29,20,7,42,33,20,5,5,5
YAL056C-A,4,1,0,2,3,0,0,0,1,0
YAL054C,241,115,89,118,150,208,358,83,160,88
YAL049C,1174,529,532,501,619,883,1148,245,527,373
YAL048C,4,3,0,1,10,10,15,4,6,4
YAL047C,134,94,67,79,119,152,167,36,61,29
YAL046C,308,131,160,178,212,316,508,114,174,114
YAL045C,1,0,0,4,0,0,0,0,0,1
YAL044C,1065,583,592,616,822,1167,1211,231,411,576
YAL043C,1010,514,439,664,843,1026,1342,375,529,332
YAL042C-A,4,0,0,0,0,1,0,0,0,0
YAL040C,3597,1837,2020,2436,2257,2765,2224,768,1164,747
YAL039C,3283,1730,1404,1779,2468,3267,5910,1745,1662,1514
YAL037C-B,0,0,0,0,0,0,0,3,0,0
YAL037C-A,3,2,1,2,3,11,21,4,6,7
YAL036C,4849,3188,3208,3251,2814,3982,3911,1101,1587,686
YAL034C-B,0,0,0,1,1,0,9,3,8,1
YAL034C,322,169,199,132,153,238,429,135,203,92
YAL032C,150,75,59,91,99,156,311,66,100,64
YAL031C,174,92,106,105,210,239,328,88,117,74
YAL029C,1390,839,721,582,910,1336,1131,215,382,352
YAL026C-A/YAL026C,818,373,328,384,445,671,766,178,346,235
YAL025C,4355,2486,2026,1906,1760,2640,3620,912,1425,647
YAL024C,1412,574,440,705,1324,1606,1057,223,287,205
YAL023C,4888,2795,2500,2624,3721,5470,4700,832,1869,1097
YAL022C,1756,1196,937,1013,1031,1575,2179,576,769,552
YAL021C,1068,472,447,505,579,841,1348,316,55,25
YAL020C,1243,659,649,741,888,1194,1446,401,734,432
YAL018C,25,18,10,7,11,21,88,28,68,6
YAL016C-B,3,1,0,0,4,0,2,0,6,0
YAL016C-A,0,3,1,2,8,4,12,5,4,3
YAL015C,287,129,100,121,178,259,333,62,168,131
YAL014C,842,472,373,468,434,727,821,213,412,299
YAL010C,211,82,140,116,200,261,393,85,119,120
YAL007C,1546,694,846,779,983,1302,1425,277,676,530
YAL005C,16512,10928,22747,27201,33403,45626,77022,12458,38934,35108
YAL001C,193,125,90,91,159,199,294,67,121,92
YAR002C-A,2747,1590,1664,2046,1620,2292,2154,533,1151,813
YAR007C,326,163,158,164,281,349,494,92,197,127
YAR009C,4255,1880,1200,1991,2543,3659,2516,804,1418,455
YAR010C,2404,1216,859,1031,1147,1654,968,316,856,257
YAR014C,1358,931,725,724,754,1043,1219,387,633,401
YAR018C,578,322,364,348,405,518,1734,410,687,668
