Name,N2-L3,N2-L4,N2-L4L,let7-L3,let7-L4,let7-L4L,alg1-L3,alg1-L4,alg1-L4L
NR_001477,0,0,0,0,0,0,0,0,0
NM_058260,22,40,53,32,69,44,55,27,84
NM_058262/NM_058261,52,92,151,41,74,109,70,82,259
NM_058263,86,87,72,124,82,74,116,92,88
NM_058267,0,42,62,0,18,28,0,10,41
NM_058269,13,3,7,13,8,21,6,7,6
NM_001261860,0,0,0,0,2,0,2,0,47
NM_058272,157,204,304,164,163,303,167,171,450
NM_058273,0,1,0,0,0,1,0,0,0
NM_058274,1139,1260,1425,1346,1178,1252,1251,1207,1682
NR_049899,0,0,0,0,1,0,0,0,0
NR_049901,0,0,0,0,0,0,0,0,0
NR_049902,0,0,0,0,0,0,0,0,0
NM_058284,0,2,0,0,1,0,3,0,0
NM_058285,158,73,128,179,79,126,169,123,125
NM_058286,1145,326,507,819,243,655,703,395,220
NM_058289,19,32,39,28,46,65,38,43,76
NM_058296,22,39,44,21,24,38,19,30,94
NM_058297,0,0,0,0,0,0,0,0,0
NM_058301,4,5,19,2,10,12,7,7,14
NM_058302,1,0,2,0,3,0,0,2,2
NM_058304,0,12,33,2,9,21,0,20,33
NM_058306,117,57,79,103,66,82,100,71,91
NM_058307,0,0,0,0,0,0,0,0,0
NR_101513,0,0,0,0,0,0,0,0,0
NR_049904/NR_049905,0,0,0,0,0,0,0,0,0
NM_058310,6,8,4,6,8,11,14,8,16
NM_058313,100,217,173,145,246,244,152,228,98
NM_058314,801,809,1126,744,972,1163,1069,746,1200
NM_058315,292,425,793,312,260,601,428,405,924
NM_001129071/NM_001129070,13,42,66,15,21,33,23,23,154
NM_058322,1,4,7,1,3,13,0,0,20
NM_058324,63,112,107,58,87,80,117,110,111
NM_058325,66,62,83,61,61,55,44,53,40
NM_058326,1231,1252,1699,1228,1401,1555,1412,1240,1978
NM_001261919/NM_001261918,14,2,11,13,12,11,9,6,7
NM_058330,2,4,1,2,2,4,1,6,0
NM_058334,5,3,19,6,11,19,9,20,8
NM_058336,0,13,12,0,2,9,2,8,3
NM_058339,27,97,184,15,94,107,19,98,326
NM_058340,10,48,65,9,41,110,8,56,203
NM_058342,6,29,20,15,18,37,12,13,38
NM_058343,810,1042,1011,1059,656,1048,796,627,1779
NM_001129077/NM_001129076,3001,494,782,1218,296,837,535,345,335
NR_049911,0,0,0,1,0,0,0,0,0
NR_049912,0,0,0,0,0,0,0,0,0
NM_001026626,5,2,3,9,2,4,3,3,8
NM_058353/NM_182075,1863,349,711,900,438,892,378,569,543
NM_001026333,0,0,0,0,0,0,0,0,1
NM_001261951/NM_001261950,122,67,97,98,65,111,137,60,91
NM_058356,8,22,26,4,14,36,10,23,78
NR_101516,467,445,572,449,396,516,569,445,678
NR_101517,5,5,7,2,10,6,0,6,15
NM_058360,1,6,9,1,3,15,1,7,17
NM_058363,1,10,27,3,2,21,0,6,14
NM_058365,81,117,123,88,96,70,87,75,84
