"","WT.2","WT.3","WT.4","WT.5","WT.6","WT.7","WT.8","WT.9","WT.10","SET1.2","SET1.3","SET1.4","SET1.5","SET1.6","SET1.7","SET1.8","SET1.9","SET1.10","SET1.RRP6.2","SET1.RRP6.3","SET1.RRP6.4","SET1.RRP6.5","SET1.RRP6.6","SET1.RRP6.7","SET1.RRP6.8","SET1.RRP6.9","SET1.RRP6.10","RRP6.2","RRP6.3","RRP6.4","RRP6.5","RRP6.6","RRP6.7","RRP6.8","RRP6.9","RRP6.10"
"HTB2",466,1783,25335,64252,24126,9067,19721,67353,28059,3822,2870,65483,39073,17421,5979,29570,56156,42195,1716,2137,21731,43086,33990,12290,7170,21650,21870,4275,2923,29292,55453,37863,25900,21179,43327,77043
"HHF1",147,427,5178,27889,8547,3432,6935,34229,13913,1663,932,31023,30668,9701,2484,12998,39462,26192,1238,1672,18206,53296,35468,12523,7099,19932,23810,1811,1257,24615,57599,29579,17696,14404,40664,79181
"HHT1",37,187,1856,3952,1020,484,1409,4636,1870,572,358,7322,3479,1241,518,3122,5084,3027,677,774,4335,6548,3723,1475,1101,3824,3677,941,541,5292,6436,2844,1931,2383,6029,9389
"POL30",27,370,4050,877,357,845,2110,1872,684,1170,1692,10529,753,344,1424,5552,1600,1120,1190,2940,9383,4044,1710,593,1093,5620,2878,872,2966,7584,2714,854,995,5318,4940,4092
"KCC4",6,200,669,166,68,360,595,438,204,381,588,1067,125,93,490,1251,346,286,494,1335,2193,906,402,183,468,1940,893,593,1210,1664,594,275,517,1796,1386,1267
"MCD1",16,117,1696,586,244,464,1227,1204,457,286,714,3404,464,326,761,2979,1047,721,298,1304,5007,2922,1552,561,778,3534,1709,264,1532,4129,1644,707,860,3675,3590,3166
"MSA1-1of2",0,5,23,13,12,15,9,19,16,13,11,23,13,18,14,18,14,21,14,16,24,27,23,18,26,32,24,28,25,20,20,26,33,25,32,34
"HTB1",105,493,4887,12369,3597,1769,3664,13649,5455,2406,1208,22417,12399,5406,1935,8956,15915,10274,2041,2575,14709,25136,15322,5345,4328,13024,12460,2462,1504,15483,20450,9643,6524,7410,17517,26690
"SUT476",8,10,28,23,31,47,42,122,72,75,41,153,112,171,182,265,187,322,546,560,657,420,593,531,786,1318,780,2207,1081,1283,930,1214,1988,2068,1567,2033
"APQ12",490,4242,7891,6477,6754,6010,6494,7744,4722,5936,3888,9156,3494,6134,6206,7747,4525,6324,4297,3906,4509,3468,4312,3539,4510,9081,3684,10089,3558,4816,4193,5310,8164,10320,9552,11390
