Name,Length,gene,product,reads,reads-with-tail,mean-tail,proportion-with-tail
YAL068C,563,PAU8,"Protein of unknown function, member of the seripauperin multigene family encoded mainly in subtelomeric regions",337.0,305.0,41.0295081967,0.905044510386
YAL067C,1982,SEO1,"Putative permease, member of the allantoate transporter subfamily of the major facilitator superfamily  mutation confers resistance to ethionine sulfoxide",98.0,95.0,40.6842105263,0.969387755102
YAL065C,587,YAL065C,Putative protein of unknown function  has homology to FLO1  possible pseudogene,6.0,4.0,11.5,0.666666666667
YAL064C-A,581,YAL064C-A,Putative protein of unknown function  null mutant is sensitive to expression of the top1-T722A allele  not an essential gene,0.0,0.0,NA,NA
YAL063C-A,491,YAL063C-A,Putative protein of unknown function  identified by expression profiling and mass spectrometry,26.0,26.0,33.0769230769,1.0
YAL063C,4169,FLO9,"Lectin-like protein with similarity to Flo1p, thought to be expressed and involved in flocculation",187.0,175.0,40.5485714286,0.935828877005
YAL059C-A,623,YAL059C-A,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data  partially overlaps verified gene ECM1/YAL059W",47.0,42.0,35.380952381,0.893617021277
YAL056C-A,551,YAL056C-A,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data",3.0,2.0,11.5,0.666666666667
YAL054C,2342,ACS1,"Acetyl-coA synthetase isoform which, along with Acs2p, is the nuclear source of acetyl-coA for histone acetylation  expressed during growth on nonfermentable carbon sources and under aerobic conditions",297.0,285.0,33.0736842105,0.959595959596
YAL049C,941,AIM2,Cytoplasmic protein involved in mitochondrial function or organization  null mutant displays reduced frequency of mitochondrial genome loss  potential Hsp82p interactor,2495.0,2238.0,32.6881143878,0.896993987976
YAL048C,2189,GEM1,"Evolutionarily-conserved tail-anchored outer mitochondrial membrane GTPase which regulates mitochondrial morphology  cells lacking Gem1p contain collapsed, globular, or grape-like mitochondria  not required for pheromone-induced cell death",27.0,21.0,32.8095238095,0.777777777778
YAL047C,2069,SPC72,"Component of the cytoplasmic Tub4p (gamma-tubulin) complex, binds spindle pole bodies and links them to microtubules  has roles in astral microtubule formation and stabilization",251.0,238.0,31.4789915966,0.948207171315
YAL046C,557,AIM1,Protein involved in mitochondrial function or organization  null mutant displays elevated frequency of mitochondrial genome loss,655.0,433.0,27.4133949192,0.66106870229
YAL045C,509,YAL045C,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data  almost completely overlaps YAL044W-A",63.0,48.0,23.875,0.761904761905
YAL044C,713,GCV3,"H subunit of the mitochondrial glycine decarboxylase complex, required for the catabolism of glycine to 5,10-methylene-THF  also required for all protein lipoylation  expression is regulated by levels of 5,10-methylene-THF",5341.0,4102.0,29.3746952706,0.768020969856
YAL043C,2558,PTA1,"Subunit of holo-CPF, a multiprotein complex and functional homolog of mammalian CPSF, required for the cleavage and polyadenylation of mRNA and snoRNA 3' ends  involved in pre-tRNA processing  binds to the phosphorylated CTD of RNAPII",2260.0,1216.0,29.7894736842,0.538053097345
YAL042C-A,578,YAL042C-A,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data  partially overlaps verified ORF ERV46/YAL042W  YAL042C-A is a non-essential gene",7.0,7.0,39.5714285714,1.0
YAL040C,1943,CLN3,"G1 cyclin involved in cell cycle progression  activates Cdc28p kinase to promote the G1 to S phase transition  plays a role in regulating transcription of the other G1 cyclins, CLN1 and CLN2  regulated by phosphorylation and proteolysis",1575.0,1452.0,36.5158402204,0.921904761905
YAL039C,1010,CYC3,"Cytochrome c heme lyase (holocytochrome c synthase), attaches heme to apo-cytochrome c (Cyc1p or Cyc7p) in the mitochondrial intermembrane space  human ortholog may have a role in microphthalmia with linear skin defects (MLS)",2526.0,2388.0,32.8115577889,0.945368171021
YAL037C-B,1175,YAL037C-B,"Dubious open reading frame unlikely to encode a protein  identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching",4.0,4.0,38.0,1.0
YAL037C-A,293,YAL037C-A,Putative protein of unknown function,17.0,15.0,45.6666666667,0.882352941176
YAL036C,1310,RBG1,"Member of the DRG family of GTP-binding proteins  associates with translating ribosomes  interacts with Tma46p, Ygr250cp, Gir2p and Yap1p via two-hybrid",3548.0,3336.0,20.8402278177,0.940248027057
YAL034C-B,554,YAL034C-B,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data",26.0,25.0,34.24,0.961538461538
YAL034C,1442,FUN19,Non-essential protein of unknown function  expression induced in response to heat stress,757.0,680.0,37.6058823529,0.898282694848
YAL032C,1340,PRP45,Protein required for pre-mRNA splicing  associates with the spliceosome and interacts with splicing factors Prp22p and Prp46p  orthologous to human transcriptional coactivator SKIP and can activate transcription of a reporter gene,404.0,231.0,29.5670995671,0.571782178218
YAL031C,2483,GIP4,Cytoplasmic Glc7-interacting protein whose overexpression relocalizes Glc7p from the nucleus and prevents chromosome segregation  potential Cdc28p substrate,630.0,501.0,33.9001996008,0.795238095238
YAL029C,4616,MYO4,"One of two type V myosin motors (along with MYO2) involved in actin-based transport of cargos  required for mRNA transport, including ASH1 mRNA, and facilitating the growth and movement of ER tubules into the growing bud along with She3p",1841.0,1743.0,30.4951233505,0.946768060837
YAL026C-A/YAL026C,4512,YAL026C-A/DRS2,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data  partially overlaps the uncharacterized ORF YAL027W and the verified gene DRS2/Aminophospholipid translocase (flippase) that maintains membrane lipid asymmetry in post-Golgi secretory vesicles  contributes to clathrin-coated vesicle formation and endocytosis  mutations in human homolog ATP8B1 result in liver disease",1025.0,847.0,31.2018890201,0.826341463415
YAL025C,1121,MAK16,"Essential nuclear protein, constituent of 66S pre-ribosomal particles  required for maturation of 25S and 5.8S rRNAs  required for maintenance of M1 satellite double-stranded RNA of the L-A virus",2652.0,2410.0,36.2195020747,0.90874811463
YAL024C,4508,LTE1,Protein similar to GDP/GTP exchange factors but without detectable GEF activity  required for asymmetric localization of Bfa1p at daughter-directed spindle pole bodies and for mitotic exit at low temperatures,2462.0,1282.0,23.2457098284,0.520714865963
YAL023C,2480,PMT2,"Protein O-mannosyltransferase, transfers mannose residues from dolichyl phosphate-D-mannose to protein Ser/Thr residues  involved in ER quality control  acts in a complex with Pmt1p, can instead interact with Pmt5  target for new antifungal",10744.0,9291.0,25.9179851469,0.864761727476
YAL022C,1754,FUN26,"Vacuolar membrane transporter with broad nucleoside selectivity  may regulate balance of nicotinamide riboside (NmR) levels between cytosol and vacuole, contributing to salvage of NmR for use in cytosolic NAD+ synthesis",3360.0,3108.0,30.7432432432,0.925
YAL021C,2714,CCR4,"Component of the CCR4-NOT transcriptional complex, which is involved in regulation of gene expression  component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening",1508.0,1050.0,27.1333333333,0.696286472149
YAL020C,1202,ATS1,"Protein required, with Elongator complex, Kti11p, and Kti12p, for modification of wobble nucleosides in tRNA  has a potential role in regulatory interactions between microtubules and the cell cycle",1978.0,1603.0,30.162819713,0.810414560162
YAL018C,1178,YAL018C,Putative protein of unknown function,58.0,52.0,32.2115384615,0.896551724138
YAL016C-B,386,YAL016C-B,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data",1.0,1.0,38.0,1.0
YAL016C-A,515,YAL016C-A,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data",7.0,4.0,21.0,0.571428571429
YAL015C,1400,NTG1,DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase involved in base excision repair  acts in both nucleus and mitochondrion  creates a double-strand break at mtDNA origins that stimulates replication in response to oxidative stress,879.0,271.0,25.9446494465,0.308304891923
YAL014C,968,SYN8,Endosomal SNARE related to mammalian syntaxin 8,1346.0,1224.0,39.5008169935,0.909361069837
YAL010C,1682,MDM10,"Subunit of both the ERMES complex that links the ER to mitochondria, and of the mitochondrial sorting and assembly machinery (SAM complex) that functions in import and assembly of outer membrane beta-barrel proteins",314.0,289.0,33.4221453287,0.920382165605
YAL007C,848,ERP2,"Protein that forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p  member, along with Emp24p and Erv25p, of the p24 family involved in ER to Golgi transport and localized to COPII-coated vesicles",2671.0,2423.0,23.3561700371,0.90715087982
YAL005C,2129,SSA1,"ATPase involved in protein folding and nuclear localization signal (NLS)-directed nuclear transport  member of heat shock protein 70 (HSP70) family  forms a chaperone complex with Ydj1p  localized to the nucleus, cytoplasm, and cell wall  98% identical with Ssa2p, but subtle differences between the two proteins provide functional specificity with respect to propagation of yeast [URE3] prions and vacuolar-mediated degradations of gluconeogenesis enzymes",409673.0,388100.0,36.356603968,0.947340928008
YAL001C,3773,TFC3,Largest of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC)  part of the TauB domain of TFIIIC that binds DNA at the BoxB promoter sites of tRNA and similar genes  cooperates with Tfc6p in DNA binding,603.0,516.0,36.1201550388,0.855721393035
