Name,Length,gene,product,reads,reads-with-tail,mean-tail,proportion-with-tail
NR_001477,1163,Y74C9A.6,,6.0,1.0,14.0,0.166666666667
NM_058260,6928,homt-1,Protein HOMT-1,2200.0,1762.0,28.2502837684,0.800909090909
NM_058262/NM_058261,9868,rcor-1,"Protein RCOR-1, isoform a/Protein RCOR-1, isoform b",11839.0,7074.0,23.8669776647,0.597516682152
NM_058263,5203,sesn-1,Protein SESN-1,2160.0,1814.0,43.4388092613,0.839814814815
NM_058267,9636,Y48G1C.5,Protein Y48G1C.5,183.0,177.0,55.6666666667,0.967213114754
NM_058269,2233,Y48G1C.6,Protein Y48G1C.6,504.0,130.0,39.1923076923,0.257936507937
NM_001261860,1355,Y48G1C.13,Protein Y48G1C.13,1675.0,1596.0,41.0996240602,0.952835820896
NM_058272,4788,Y48G1C.7,Protein Y48G1C.7,14184.0,12064.0,35.5361405836,0.850535815003
NM_058273,7747,Y48G1C.8,Protein Y48G1C.8,64.0,41.0,32.0975609756,0.640625
NM_058274,1780,rab-11.1,Protein RAB-11.1,31542.0,25017.0,44.1030898989,0.79313296557
NR_049899,1221,F53G12.16,,1.0,1.0,119.0,1.0
NR_049901,1150,F53G12.17,,0.0,0.0,NA,NA
NR_049902,1021,21ur-13877,,1.0,1.0,55.0,1.0
NM_058284,1297,F53G12.11,Protein F53G12.11,2.0,2.0,15.5,1.0
NM_058285,9197,bli-3,Protein BLI-3,1828.0,1687.0,45.8263189093,0.922866520788
NM_058286,7413,ptr-11,Protein PTR-11,1320.0,1262.0,56.9469096672,0.956060606061
NM_058289,1633,F56C11.3,Protein F56C11.3,2932.0,775.0,26.6503225806,0.264324693042
NM_058296,1826,Y48G1BL.5,Protein Y48G1BL.5,3778.0,3426.0,31.5945709282,0.906829010058
NM_058297,1512,Y48G1BL.6,Protein Y48G1BL.6,0.0,0.0,NA,NA
NM_058301,7561,Y48G1BM.6,Protein Y48G1BM.6,306.0,270.0,56.9814814815,0.882352941176
NM_058302,1406,Y48G1BM.7,Protein Y48G1BM.7,140.0,111.0,38.8648648649,0.792857142857
NM_058304,1964,Y48G1BM.8,Protein Y48G1BM.8,486.0,86.0,43.6744186047,0.17695473251
NM_058306,2898,Y48G1BM.9,Protein Y48G1BM.9,2325.0,2090.0,30.3588516746,0.898924731183
NM_058307,2742,Y48G1BR.1,Protein Y48G1BR.1,6.0,0.0,NA,0.0
NR_101513,1117,T13E5.1,,0.0,0.0,NA,NA
NR_049904/NR_049905,1025,21ur-15400/21ur-13405,,0.0,0.0,NA,NA
NM_058310,3705,ztf-3,Protein ZTF-3,380.0,323.0,30.080495356,0.85
NM_058313,5888,C53D5.5,Protein C53D5.5,2607.0,1354.0,39.6883308715,0.519370924434
NM_058314,4578,imb-3,Protein IMB-3,39530.0,30175.0,37.9329908865,0.763344295472
NM_058315,5528,xpo-2,Protein XPO-2,29392.0,28396.0,32.6467108043,0.966113228089
NM_001129071/NM_001129070,5824,mbtr-1,"Protein MBTR-1, isoform b/Protein MBTR-1, isoform a",5666.0,5350.0,30.5502803738,0.944228732792
NM_058322,7662,R119.1,Protein R119.1,616.0,470.0,35.1404255319,0.762987012987
NM_058324,5671,R119.2,Protein R119.2,3570.0,3523.0,44.7490774908,0.986834733894
NM_058325,6382,R119.3,Protein R119.3,1206.0,839.0,54.5554231228,0.695688225539
NM_058326,3658,pqn-59,Protein PQN-59,55727.0,42708.0,27.7987730636,0.766378954546
NM_001261919/NM_001261918,6617,R119.5,"Protein R119.5, isoform a/Protein R119.5, isoform b",390.0,310.0,39.9677419355,0.794871794872
NM_058330,6750,Y50C1A.2,Protein Y50C1A.2,464.0,106.0,22.5377358491,0.228448275862
