Name,Length,gene,product,reads,reads-with-tail,mean-tail,proportion-with-tail
NR_001477,1163,Y74C9A.6,,0.0,0.0,NA,NA
NM_058260,6928,homt-1,Protein HOMT-1,426.0,401.0,32.1246882793,0.941314553991
NM_058262/NM_058261,9868,rcor-1,"Protein RCOR-1, isoform a/Protein RCOR-1, isoform b",930.0,615.0,31.9056910569,0.661290322581
NM_058263,5203,sesn-1,Protein SESN-1,821.0,785.0,38.6063694268,0.956151035323
NM_058267,9636,Y48G1C.5,Protein Y48G1C.5,201.0,200.0,67.99,0.995024875622
NM_058269,2233,Y48G1C.6,Protein Y48G1C.6,84.0,22.0,48.9545454545,0.261904761905
NM_001261860,1355,Y48G1C.13,Protein Y48G1C.13,51.0,51.0,48.2941176471,1.0
NM_058272,4788,Y48G1C.7,Protein Y48G1C.7,2083.0,1933.0,40.808070357,0.927988478157
NM_058273,7747,Y48G1C.8,Protein Y48G1C.8,2.0,2.0,29.0,1.0
NM_058274,1780,rab-11.1,Protein RAB-11.1,11740.0,10609.0,47.5429352437,0.903662691652
NR_049899,1221,F53G12.16,,1.0,0.0,NA,0.0
NR_049901,1150,F53G12.17,,0.0,0.0,NA,NA
NR_049902,1021,21ur-13877,,0.0,0.0,NA,NA
NM_058284,1297,F53G12.11,Protein F53G12.11,6.0,6.0,26.1666666667,1.0
NM_058285,9197,bli-3,Protein BLI-3,1160.0,1081.0,43.579093432,0.931896551724
NM_058286,7413,ptr-11,Protein PTR-11,5013.0,4954.0,49.8431570448,0.988230600439
NM_058289,1633,F56C11.3,Protein F56C11.3,386.0,200.0,34.78,0.518134715026
NM_058296,1826,Y48G1BL.5,Protein Y48G1BL.5,331.0,305.0,38.062295082,0.921450151057
NM_058297,1512,Y48G1BL.6,Protein Y48G1BL.6,0.0,0.0,NA,NA
NM_058301,7561,Y48G1BM.6,Protein Y48G1BM.6,80.0,77.0,51.6493506494,0.9625
NM_058302,1406,Y48G1BM.7,Protein Y48G1BM.7,10.0,8.0,46.625,0.8
NM_058304,1964,Y48G1BM.8,Protein Y48G1BM.8,130.0,43.0,27.9534883721,0.330769230769
NM_058306,2898,Y48G1BM.9,Protein Y48G1BM.9,766.0,704.0,35.6605113636,0.919060052219
NM_058307,2742,Y48G1BR.1,Protein Y48G1BR.1,0.0,0.0,NA,NA
NR_101513,1117,T13E5.1,,0.0,0.0,NA,NA
NR_049904/NR_049905,1025,21ur-15400/21ur-13405,,0.0,0.0,NA,NA
NM_058310,3705,ztf-3,Protein ZTF-3,81.0,68.0,38.8970588235,0.83950617284
NM_058313,5888,C53D5.5,Protein C53D5.5,1603.0,1030.0,39.9058252427,0.642545227698
NM_058314,4578,imb-3,Protein IMB-3,8630.0,7500.0,39.2536,0.869061413673
NM_058315,5528,xpo-2,Protein XPO-2,4440.0,4350.0,40.1781609195,0.97972972973
NM_001129071/NM_001129070,5824,mbtr-1,"Protein MBTR-1, isoform b/Protein MBTR-1, isoform a",390.0,381.0,40.6929133858,0.976923076923
NM_058322,7662,R119.1,Protein R119.1,49.0,42.0,49.1428571429,0.857142857143
NM_058324,5671,R119.2,Protein R119.2,845.0,843.0,49.8398576512,0.997633136095
NM_058325,6382,R119.3,Protein R119.3,525.0,465.0,51.9569892473,0.885714285714
NM_058326,3658,pqn-59,Protein PQN-59,12996.0,10407.0,31.1652733737,0.800784856879
